,key,year,value
868,Nauru,2023,13180.0
869,Nauru,2050,19790.0
870,Nepal,1800,745.0
871,Nepal,1850,745.0
872,Nepal,1900,922.0
873,Nepal,1950,932.0
874,Nepal,2000,2078.0
875,Nepal,2023,4089.0
876,Nepal,2050,8021.0
877,Netherlands,1800,4864.0
878,Netherlands,1850,4393.0
879,Netherlands,1900,6168.0
880,Netherlands,1950,11111.0
881,Netherlands,2000,47422.0
882,Netherlands,2023,59263.0
883,Netherlands,2050,98263.0
884,Netherlands,1700,2580.7243298004455
885,Netherlands,1750,2527.5135188767226
886,New Zealand,1800,752.0
887,New Zealand,1850,2120.0
888,New Zealand,1900,7964.0
